Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence,School_Programs,Family_Background,Mental_Health,Access_to_Counseling,Parental_Supervision,Substance_Education,Community_Support,Media_Influence
2021,3,0,30.24,66.21,0,9,1,3,8,0,3,0,10,10
2021,1,2,48.53,39.36,2,4,1,3,9,1,10,1,8,5
2022,0,0,39.61,28.4,2,10,1,3,10,1,10,0,1,9
2022,9,1,40.11,46.14,0,10,0,1,9,0,1,1,10,7
2020,5,0,15.42,46.73,0,4,0,10,7,1,10,0,7,8
2023,6,2,21.45,51.81,0,5,0,2,9,0,7,0,7,8
2021,3,0,31.1,28.6,1,8,1,10,10,0,6,0,8,5
2024,6,2,38.3,59.3,2,7,0,4,2,0,10,0,9,10
2021,2,2,12.56,13.02,2,9,1,8,3,0,7,0,8,1
2021,1,2,19.18,54.56,0,9,0,5,10,1,3,1,3,6
2022,3,0,19.22,11.85,2,3,1,7,2,1,4,0,9,1
2020,9,0,43.54,61.65,2,8,0,4,7,0,7,1,7,10
2020,5,0,25.18,10.65,0,9,0,6,8,0,9,0,2,5
2020,8,2,16.91,29.11,0,4,0,5,7,0,9,0,1,6
2022,4,2,38.31,58.03,1,1,0,4,1,0,8,1,8,9
2022,3,2,44.29,39.2,1,3,0,2,4,1,1,0,1,1
2024,3,1,35.74,53.86,1,9,1,7,6,1,1,1,9,7
2021,2,2,41.8,44.7,1,2,1,5,4,0,3,0,8,6
2020,2,1,13.23,66.79,2,6,0,7,9,1,8,0,9,1
2024,9,2,36.48,28.33,1,3,0,2,6,1,8,1,6,9
2021,4,1,41.56,15.45,2,8,1,6,10,0,9,1,3,6
2020,2,0,18.93,62.34,0,6,1,9,3,0,10,1,5,8
2023,1,0,17.07,62.24,0,1,0,6,10,0,9,1,4,8
2020,9,2,36.15,16.36,2,4,1,7,8,1,7,1,10,4
2020,9,2,34.67,50.81,0,6,1,1,4,1,8,1,8,10
2020,8,1,39.9,35.97,1,9,0,8,7,0,8,0,8,2
2023,1,1,23.57,53.95,1,5,0,3,8,1,2,1,10,6
2020,1,2,17.65,37.35,1,7,0,9,4,0,9,0,10,9
2021,2,0,49.93,35.49,0,3,1,8,4,1,8,0,4,1
2024,8,0,35.4,47.89,0,7,0,8,9,0,9,1,7,1
2023,5,1,46.02,46.05,1,8,1,7,1,1,5,0,10,2
2021,4,2,32.59,19.27,1,7,1,10,1,0,6,1,5,7
2021,1,1,6.79,33.88,1,10,0,4,2,1,10,0,6,9
2021,9,1,18.08,67.1,0,10,1,1,1,1,7,1,1,3
2021,3,2,25.35,12.22,0,9,1,8,1,0,4,0,9,7
2024,4,2,48.43,39.39,0,10,1,9,2,1,6,1,8,9
2021,4,0,45.02,26.02,0,4,0,6,7,1,2,1,1,1
2024,1,2,7.33,52.4,1,9,1,4,2,1,1,1,3,1
2020,7,2,29.23,37.49,1,5,0,5,3,0,5,1,9,4
2024,0,1,45.73,65.33,2,3,0,8,10,1,7,1,7,6
2021,2,0,28.49,48.94,0,4,0,3,6,0,5,0,4,6
2023,9,2,23.01,66.78,0,3,0,9,1,0,8,1,9,4
2021,0,0,16.22,61.72,2,8,1,6,3,1,6,0,10,8
2020,5,1,34.63,48.06,1,8,0,1,2,0,7,1,4,3
2023,9,0,33.13,26.47,2,1,0,3,9,1,7,1,7,7
2023,6,1,21.4,63.48,0,9,0,6,7,1,6,1,8,7
2021,8,1,19.22,56.96,0,4,0,2,5,0,1,1,4,5
2022,5,2,40.43,53.65,2,8,1,1,9,0,7,1,8,5
2020,7,0,25.5,36.05,2,2,1,8,3,0,6,1,8,3
2020,8,2,20.18,50.76,2,4,1,2,10,1,10,0,6,10
2023,8,1,22.99,45.9,0,10,1,10,7,0,3,0,3,4
2020,0,1,6.96,13.43,2,6,1,1,4,0,2,0,10,4
2023,5,0,43.96,64.17,1,10,1,9,8,0,2,1,8,4
2023,2,2,8.21,26.64,0,7,0,7,9,1,1,1,4,1
2024,7,1,43.85,26.64,2,8,0,1,6,1,10,0,7,8
2021,7,0,30.88,51.43,2,7,1,6,7,0,8,1,5,7
2024,0,0,18.97,38.64,0,8,0,8,9,1,7,1,9,7
2024,9,2,24.08,58.03,0,7,1,3,8,1,3,0,8,2
2024,7,0,29.37,35.17,2,5,0,1,10,0,8,0,6,6
2024,8,2,15.27,16.63,1,3,1,2,9,0,2,0,2,8
2021,6,0,20.34,23.06,1,6,0,2,7,0,2,0,7,2
2024,2,2,43.73,59.28,1,7,1,10,8,1,9,1,3,1
2022,5,1,25.23,24.92,0,1,0,10,10,1,9,1,9,9
2020,4,2,35.96,19.99,2,4,0,5,5,1,7,0,3,9
2024,4,0,11.45,57.21,2,5,1,7,10,0,2,1,2,6
2023,2,2,12.83,35.6,0,7,0,9,6,1,4,1,7,4
2021,6,1,24.46,42.92,0,3,0,5,1,1,9,0,7,10
2020,8,0,12.19,22.09,0,7,0,8,9,1,2,1,6,7
2024,7,0,49.3,41.11,0,2,1,1,3,0,5,0,7,8
2024,9,1,35.52,16.39,2,10,1,7,3,1,10,0,8,1
2022,8,2,14.48,24.16,0,6,1,3,3,0,8,0,1,5
2022,2,2,37.26,23.73,2,3,0,3,3,0,7,0,1,7
2023,7,1,15.24,66.55,1,10,0,7,5,1,5,0,4,8
2022,7,2,45.7,22.11,1,2,1,6,5,0,6,0,10,1
2023,6,1,42.12,47.73,0,8,1,4,8,0,5,1,3,6
2022,3,1,9.74,38.33,2,7,1,8,5,0,3,1,2,9
2024,9,2,28.63,40.36,1,5,1,10,4,0,8,1,8,8
2023,7,1,14.83,26.61,0,9,0,1,7,1,10,0,4,6
2021,3,0,14.38,17.98,1,1,1,5,4,1,9,1,2,8
2022,4,2,18.83,23.12,0,4,0,5,10,0,6,1,7,1
2022,5,2,32.17,21.7,2,3,1,8,9,1,6,1,9,8
2023,8,1,26.43,29.2,1,3,1,6,9,1,9,0,5,9
2023,4,1,27.17,46.3,0,7,1,6,3,1,6,0,1,3
2020,4,1,22.2,35.72,1,3,0,3,6,1,9,0,8,9
2023,0,0,35.34,66.7,1,7,1,5,7,1,5,0,10,7
2024,8,1,47.33,22.32,2,3,1,9,4,0,10,0,6,6
2023,6,2,26.74,14.01,0,10,1,7,7,1,4,0,7,4
2024,1,0,34.25,21.0,2,5,1,4,6,0,7,1,1,10
2022,4,1,11.58,10.64,1,8,0,5,2,1,5,0,1,4
2023,4,0,11.47,23.3,0,2,1,9,8,1,5,1,7,7
2020,1,1,14.06,28.06,0,2,0,3,9,1,5,1,2,4
2021,9,1,19.15,22.56,0,3,1,7,10,0,2,0,5,6
2022,8,1,10.43,58.17,0,7,0,4,2,0,8,1,3,9
2020,0,2,32.67,32.42,1,1,1,6,4,0,10,0,9,4
2022,1,1,31.0,68.71,1,5,1,8,1,0,6,0,4,10
2023,0,0,27.5,40.19,2,10,0,2,3,1,3,0,2,4
2020,4,2,47.99,22.12,1,1,1,9,7,1,9,0,7,4
2021,5,2,33.05,20.07,1,9,1,5,4,0,7,0,10,10
2024,7,2,37.02,42.06,0,5,0,8,1,0,2,0,2,8
2024,3,1,20.71,67.14,1,9,1,9,2,0,8,0,10,8
2024,3,0,45.52,14.86,1,9,0,3,4,0,1,0,9,8
2022,5,2,26.37,58.18,0,6,0,7,6,0,1,0,2,6
2020,5,2,43.3,36.0,2,3,1,8,10,1,1,0,9,2
2020,4,2,6.41,58.82,1,3,1,8,9,1,5,1,8,7
2020,5,2,31.81,52.35,1,3,0,3,4,0,9,1,2,3
2023,0,2,23.23,63.91,2,9,1,10,3,0,2,0,3,8
2021,3,0,19.89,12.35,0,1,0,4,8,0,3,0,7,4
2023,5,2,46.75,31.73,1,9,0,4,10,1,1,1,8,3
2020,9,1,15.81,66.58,0,6,1,1,1,0,10,0,4,7
2021,0,2,40.91,64.86,1,7,0,8,1,0,9,1,5,9
2023,2,0,46.99,16.32,0,7,1,6,9,1,6,1,4,3
2022,9,2,21.77,14.04,1,4,0,1,10,1,4,0,7,2
2022,8,2,7.71,14.05,1,1,1,9,4,0,6,0,3,7
2021,2,0,10.29,31.95,2,4,0,1,2,0,6,0,7,7
2022,8,1,17.73,66.87,1,4,0,8,6,0,2,0,5,7
2020,8,2,46.19,30.94,0,6,0,8,4,0,9,0,5,10
2021,9,0,14.64,64.88,0,1,0,3,1,1,2,0,7,1
2022,8,0,31.27,66.03,1,10,1,7,2,1,5,0,9,4
2020,8,1,19.1,40.89,1,9,0,3,4,1,8,0,5,10
2020,6,1,11.97,56.89,2,6,0,1,9,1,8,1,1,8
2021,1,2,35.85,13.07,1,3,0,2,9,0,5,0,3,2
2022,8,0,13.52,32.35,2,4,1,7,4,0,8,0,10,6
2021,3,0,49.55,36.73,1,6,1,1,3,0,9,0,10,8
2021,1,1,34.47,12.74,2,10,1,9,9,1,7,0,10,10
2023,7,1,13.5,36.31,2,5,1,6,4,0,4,0,10,8
2021,9,2,5.82,64.04,0,4,0,10,2,1,10,1,7,6
2021,0,0,31.59,35.99,0,1,1,7,7,1,3,0,8,7
2020,8,2,34.98,31.67,2,3,0,7,6,1,3,1,6,9
2021,6,0,24.9,23.51,0,2,0,1,9,0,8,0,1,6
2020,5,1,18.34,53.89,1,4,1,6,7,1,3,1,7,2
2020,9,1,15.78,64.3,1,6,1,7,2,0,10,1,4,3
2021,0,1,32.14,32.41,2,7,0,4,6,1,6,0,4,10
2020,4,0,13.36,17.96,0,6,1,7,1,0,4,0,6,1
2020,1,2,49.52,60.84,0,2,1,8,9,1,7,0,4,5
2023,3,1,32.91,22.46,2,5,0,1,5,0,1,0,4,9
2022,8,2,32.32,32.41,2,4,1,8,2,1,6,0,5,5
2024,6,0,17.21,30.01,2,4,1,1,3,1,9,1,9,8
2022,4,0,47.49,41.93,2,1,0,6,3,0,5,1,1,7
2021,1,2,38.45,52.05,1,1,1,6,4,0,6,0,3,9
2024,8,1,9.55,60.58,2,1,0,3,4,0,5,1,4,8
2021,6,2,45.85,65.65,1,5,0,4,8,0,5,0,1,6
2020,6,2,49.98,10.47,2,7,1,2,10,1,3,1,9,2
2021,8,2,25.71,68.27,2,9,1,5,1,1,9,0,2,8
2024,3,2,25.0,68.31,1,3,0,9,5,1,4,1,9,1
2021,0,0,37.96,14.32,2,2,1,7,7,0,7,1,8,1
2021,9,0,12.59,35.0,1,8,1,6,6,1,9,1,9,3
2024,0,1,33.23,49.86,0,4,0,9,10,0,9,0,4,10
2023,6,2,30.55,14.19,2,10,0,7,5,0,10,0,4,2
2024,3,0,9.25,15.11,1,1,0,4,4,0,5,1,3,10
2024,8,2,26.79,22.48,2,8,1,7,8,0,3,0,2,3
2024,5,2,35.17,24.94,1,3,0,5,5,1,3,1,9,4
2024,7,1,44.68,18.06,0,4,1,6,8,0,6,0,6,4
2021,8,2,5.88,56.76,2,10,1,4,3,0,1,0,2,6
2024,5,0,47.04,59.37,1,1,0,10,10,0,10,0,8,8
2020,8,1,43.26,18.15,2,8,0,5,6,0,9,0,4,8
2021,4,0,34.95,10.48,1,9,0,10,4,0,3,0,10,8
2024,9,2,32.22,65.82,1,7,1,3,7,0,3,1,1,1
2024,2,2,21.87,15.89,0,3,1,4,10,1,10,0,10,1
2023,0,2,6.06,55.68,0,6,1,4,10,1,2,1,4,4
2022,5,0,29.18,13.08,0,1,0,7,2,1,10,0,4,1
2022,4,2,9.05,36.99,1,10,1,1,2,1,5,0,5,3
2020,5,0,23.16,57.24,0,7,1,10,6,0,7,0,6,5
2020,9,1,9.83,26.09,0,5,1,3,9,0,5,0,8,7
2023,3,0,36.52,64.89,2,5,0,7,1,0,7,0,7,4
2023,5,0,48.82,41.06,2,5,0,10,4,0,7,0,1,6
2020,9,0,48.41,64.26,0,10,0,9,2,1,10,1,4,7
2023,4,2,15.34,20.91,2,6,0,9,1,0,4,0,5,6
2021,4,0,37.11,20.5,2,4,0,8,5,1,10,0,10,1
2020,4,2,20.42,65.23,2,9,1,9,10,0,5,1,4,4
2020,4,0,8.72,17.6,2,3,0,8,10,1,2,0,6,10
2021,7,0,10.1,60.16,1,1,0,6,1,0,7,0,1,1
2021,6,2,24.03,16.49,2,5,1,10,5,1,8,0,5,5
2023,1,1,49.16,54.34,2,5,1,8,10,0,3,0,4,1
2024,3,2,24.6,58.31,1,2,0,10,7,0,6,0,2,1
2023,4,0,31.39,30.17,0,4,0,9,7,1,5,0,7,2
2023,9,0,30.52,28.93,2,2,0,7,7,0,2,1,7,6
2024,7,0,48.32,59.69,0,4,0,9,5,1,7,0,4,7
2020,3,2,5.16,16.24,2,2,1,10,10,0,3,0,3,1
2020,7,1,9.58,63.2,1,9,1,10,6,1,6,0,6,6
2020,3,1,26.0,62.98,1,1,1,10,4,1,10,0,8,6
2023,1,0,20.01,47.25,0,2,1,6,1,0,3,1,8,5
2020,5,2,46.28,59.96,1,8,1,2,9,1,9,1,10,9
2020,3,0,9.88,42.5,2,1,1,7,6,1,7,1,5,9
2022,0,2,12.45,58.8,2,6,1,10,8,0,2,1,1,2
2022,5,0,34.72,59.27,1,4,0,5,3,0,7,1,1,1
2022,0,1,8.67,21.08,2,8,1,8,5,1,1,0,5,4
2020,3,0,23.75,53.21,0,10,0,9,4,0,9,0,3,8
2020,0,0,40.6,57.05,1,9,0,9,5,0,3,0,2,3
2024,7,1,8.34,38.03,2,4,0,8,7,0,3,0,7,4
2022,4,2,23.54,30.41,2,10,0,2,1,1,10,0,7,8
2022,4,1,16.38,17.93,0,7,1,5,4,0,5,1,2,3
2024,2,0,46.23,50.43,2,3,1,7,8,0,10,0,2,9
2022,4,0,43.17,28.5,1,3,1,3,7,0,7,0,4,10
2021,4,0,9.72,54.07,1,9,1,3,9,1,9,0,5,8
2020,9,0,24.64,26.79,2,9,1,7,4,1,6,1,1,4
2024,1,1,17.7,28.28,0,9,1,7,8,0,8,0,10,9
2023,6,2,14.42,10.91,2,6,1,7,8,0,10,0,4,10
2020,7,1,19.89,15.3,2,8,0,7,8,0,1,0,5,5
2020,9,1,41.43,34.02,2,8,0,3,6,1,6,0,4,7
2022,7,2,41.82,29.41,1,10,0,7,10,0,8,1,10,10
2023,3,2,23.23,25.38,0,1,1,8,7,0,1,0,7,4
2020,2,0,37.16,36.34,0,9,1,1,9,0,7,1,8,2
2021,1,0,23.97,10.86,1,10,1,3,5,0,5,1,8,5
2022,1,2,19.96,48.33,1,8,0,4,10,1,9,0,8,6
2021,8,0,44.02,47.46,1,8,1,1,7,1,1,1,8,3
2024,0,0,45.92,35.19,1,6,0,4,9,1,7,1,4,8
2020,5,0,10.31,67.54,2,4,1,9,2,0,7,0,7,5
2022,5,1,20.34,41.47,1,6,0,5,1,0,4,1,4,5
2023,3,1,44.85,43.3,1,3,0,9,6,1,8,0,3,8
2020,3,2,16.35,11.65,0,8,1,5,2,0,1,0,8,9
